Gender,ApplicantIncome,LoanAmount,Loan_Status
Male,3459,25,1
Male,4895,102,1
Male,4000,290,0
Female,4583,84,0
Male,3316,88,1
Male,14999,242,0
Male,4200,129,0
Male,5042,185,0
Male,5417,168,1
Male,6950,175,1
Male,2698,122,1
Male,11757,187,1
Female,2330,100,1
Female,14866,70,1
Male,1538,30,1
Female,10000,225,0
Male,4860,125,1
Male,6277,118,0
Male,2577,152,1
Male,9166,244,0
Male,2281,113,0
Male,3254,50,1
Male,39999,600,1
Male,6000,160,1
Male,9538,187,1
Male,2980,120,1
Male,4583,255,1
Male,1863,98,1
Male,7933,275,0
Male,3089,121,0
Male,4167,158,1
Male,9323,75,1
Male,3707,182,1
Female,4583,112,0
Male,2439,129,1
Male,2237,63,0
Male,8000,200,1
Male,1820,95,1
Male,3522,81,0
Male,5708,187,1
Male,4344,87,0
Male,3497,116,1
Male,2045,101,1
Male,5516,495,0
Male,3750,116,1
Male,2333,102,0
Male,6400,180,0
Male,1916,67,0
Male,4600,73,1
Male,33846,260,0
Female,3625,108,1
Male,39147,120,1
Male,2178,66,0
Male,2383,58,1
Male,9328,188,1
Male,4885,48,1
Male,12000,164,0
Male,6033,160,0
Male,3858,76,1
Male,4191,120,1
Male,3125,170,0
Male,8333,187,1
Female,1907,120,1
Female,3416,113,1
Male,11000,83,0
Male,2600,90,1
Male,4923,166,1
Male,3500,135,1
Male,3917,124,1
Female,4408,120,1
Female,3244,80,1
Male,3975,55,1
Male,2479,59,1
Male,3418,127,0
Female,10000,214,0
Male,3430,128,0
Male,7787,240,1
Male,5703,130,1
Male,3173,137,1
Male,3850,100,1
Male,150,135,0
Male,3727,131,1
Male,5000,72,0
Female,4283,127,1
Male,2221,60,0
Male,4009,116,1
Male,2971,144,1
Male,7578,175,1
Male,6250,128,1
Male,3250,170,0
Male,4735,138,0
Male,6250,210,1
Male,4758,158,1
Male,6400,200,1
Male,2491,104,1
Male,3716,42,1
Male,3189,120,1
Female,8333,280,1
Male,3155,140,1
Male,5500,170,1
Male,5746,255,0
Female,3463,122,1
Female,3812,112,1
Male,3315,96,1
Male,5819,120,1
Male,2510,140,0
Male,2965,155,1
Male,6250,108,1
Male,3406,123,1
Male,6050,120,0
Male,9703,112,1
Male,6608,137,1
Male,2882,123,1
Male,1809,90,1
Male,1668,201,0
Female,3427,138,0
Male,2583,104,1
Male,2661,279,1
Male,16250,192,0
Female,3083,255,1
Male,6045,115,0
Male,5250,94,0
Male,14683,304,0
Male,4931,128,0
Male,6083,330,1
Male,2060,134,1
Female,3481,155,0
Female,7200,120,1
Male,5166,128,1
Male,4095,151,1
Male,4708,150,1
Male,4333,160,1
Female,3418,135,0
Female,2876,90,1
Female,3237,30,1
Male,11146,136,1
Male,2833,126,1
Male,2620,150,1
Male,3900,90,1
Male,2750,115,1
Male,3993,207,1
Male,3103,80,1
Male,14583,436,1
Female,4100,124,1
Male,4053,158,0
Male,3927,112,1
Male,2301,78,1
Female,1811,54,1
Male,3158,89,1
Female,2600,99,0
Male,3704,120,1
Female,4124,115,1
Male,9508,187,1
Male,3075,139,1
Male,4400,127,0
Male,3153,134,1
Female,5417,143,0
Male,2383,172,1
Male,4416,110,1
Male,6875,200,1
Female,4666,135,1
Female,5000,151,0
Male,2014,113,0
Male,1800,93,0
Male,2875,105,1
Female,5000,132,1
Male,1625,96,1
Male,4000,140,1
Female,3762,135,1
Female,2400,104,0
Male,20233,480,0
Male,7667,185,1
Female,2917,84,1
Male,2927,111,1
Female,2507,56,1
Male,5746,144,1
Male,3399,111,1
Male,3717,120,1
Male,2058,88,1
Female,3541,112,1
Male,10000,155,0
Male,2400,115,1
Male,4342,124,1
Female,3166,132,1
Male,15000,300,1
Male,8666,376,0
Male,4917,130,1
Male,5818,184,1
Female,4333,110,0
Female,2500,67,1
Male,4384,117,1
Male,2935,98,1
Male,2833,71,1
Male,63337,490,1
Male,5503,70,1
Male,5250,160,1
Male,2500,176,1
Female,4160,71,1
Male,2647,173,0
Female,2378,46,0
Male,4554,158,1
Male,3173,74,1
Male,2583,125,1
Male,2499,160,1
Male,3523,152,0
Male,3083,126,1
Male,6333,259,1
Male,2625,187,1
Male,9083,228,1
Male,8750,308,0
Male,2666,95,1
Female,5500,105,0
Female,2423,130,1
Female,3813,116,1
Male,8333,165,1
Male,3875,67,0
Male,3000,100,0
Male,5167,200,1
Female,4723,81,0
Male,5000,236,1
Male,4750,130,1
Male,3013,95,1
Male,6822,141,1
Male,6216,133,0
Male,2500,96,0
Male,5124,124,0
Male,6325,175,1
Male,19730,570,0
Female,15759,55,1
Male,5185,155,1
Male,9323,380,1
Male,3062,111,0
Female,2764,110,1
Male,4817,120,1
Male,8750,130,1
Male,4310,130,1
Male,3069,71,0
Male,5391,130,1
Male,3333,128,1
Male,5941,296,1
Female,6000,156,1
Male,7167,128,1
Male,4566,100,0
Male,3667,113,1
Male,2346,132,1
Male,2333,136,1
Male,5488,125,1
Male,9167,185,1
Male,9504,275,1
Male,2583,120,1
Male,1993,113,1
Male,3100,113,1
Male,3276,135,1
Female,3180,71,0
Male,3033,95,1
Male,3902,109,1
Female,1500,103,0
Male,2889,45,0
Male,2755,65,0
Male,2500,103,1
Female,1963,53,1
Female,7441,194,0
Female,4547,115,1
Male,2167,115,1
Female,2213,66,1
Male,8300,152,0
Male,81000,360,0
Female,3867,62,0
Male,6256,160,1
Male,6096,218,0
Male,2253,110,1
Female,2149,178,0
Female,2995,60,1
Female,2600,160,0
Male,1600,239,0
Male,1025,112,1
Male,3246,138,1
Male,5829,138,1
Female,2720,80,0
Male,1820,100,1
Male,7250,110,0
Male,14880,96,1
Male,2666,121,1
Female,4606,81,0
Male,5935,133,1
Male,2920,87,1
Male,2717,60,1
Female,8624,150,1
Male,6500,105,0
Male,12876,405,1
Male,2425,143,1
Male,3750,100,1
Male,1926,50,1
Male,10416,187,0
Female,7142,138,1
Male,3660,187,1
Male,7901,180,1
Male,4707,148,1
Male,37719,152,1
Male,7333,175,1
Male,3466,130,1
Male,4652,110,1
Male,3539,55,0
Male,3340,150,0
Male,2769,190,0
Male,2309,125,0
Male,1958,60,1
Male,3948,149,0
Male,2483,90,1
Male,7085,84,1
Male,3859,96,1
Male,4301,118,1
Male,3708,173,0
Male,4354,136,1
Male,8334,160,0
Male,7740,128,1
Male,3015,153,1
Female,5191,132,1
Male,4166,98,0
Male,6000,140,1
Male,2947,70,0
Female,210,98,1
Male,4333,110,0
Male,3450,162,1
Male,2653,113,0
Male,4691,100,1
Female,2500,93,1
Male,5532,162,1
Male,16525,150,1
Male,6700,230,1
Male,16667,86,1
Female,4350,154,1
Male,3095,113,1
Male,2083,128,1
Male,10833,234,1
Male,8333,246,1
Male,1958,131,1
Male,3547,80,0
Male,18333,500,0
Male,4583,160,1
Male,2435,75,0
Male,2699,96,1
Male,5333,186,1
Male,3691,110,1
Female,17263,225,1
Male,3597,119,0
Female,3326,105,1
Male,2600,107,1
Male,4625,111,1
Male,2895,95,1
Male,6283,209,0
Female,645,113,1
Female,3159,100,1
Male,4865,208,1
Male,4050,138,0
Male,3814,124,1
Male,3510,243,1
Male,20833,480,1
Male,2479,188,1
Female,13262,40,1
Male,3598,100,0
Male,6065,250,1
Male,3283,148,1
Male,2130,70,0
Male,5815,311,0
Male,3466,150,1
Female,2031,113,1
Male,3074,123,0
Male,4683,185,0
Female,3400,95,0
Male,2192,45,1
Male,2500,55,1
Male,5677,100,1
Male,7948,480,1
Male,17500,400,1
Male,3775,110,1
Male,5285,161,1
Male,2679,94,1
Male,6783,130,1
Male,1025,216,1
Male,4281,100,1
Male,3588,110,0
Male,11250,196,0
Female,18165,125,1
Male,2550,126,1
Male,6133,324,1
Male,3617,107,1
Male,2917,66,0
Male,6417,157,1
Female,4608,140,1
Female,2138,99,0
Female,3652,95,1
Male,2239,128,1
Female,3017,102,1
Male,2768,155,1
Male,3358,80,0
Male,2526,145,1
Female,5000,103,0
Male,2785,110,1
Male,3333,158,1
Male,2454,181,0
Male,3593,132,0
Male,5468,26,1
Female,2667,84,1
Male,10139,260,1
Male,3887,162,1
Female,4180,182,1
Male,3675,108,1
Female,19484,600,1
Male,5923,211,1
Male,5800,132,1
Male,8799,258,0
Male,4467,120,1
Male,3333,70,1
Male,3400,123,0
Female,2378,9,0
Male,3166,104,0
Male,3417,186,1
Male,5116,165,0
Male,16666,275,1
Male,6125,187,0
Male,6406,150,0
Male,3159,108,1
Male,3229,110,1
Male,1782,107,1
Male,3182,161,1
Male,6540,205,1
Male,1836,90,0
Female,3166,36,1
Male,1880,61,0
Male,2787,146,0
Male,4283,172,0
Male,2297,104,1
Female,2165,70,1
Male,2726,106,0
Male,3000,56,1
Male,6000,205,0
Male,3859,142,1
Male,16120,260,1
Male,3833,110,1
Male,6383,187,0
Male,2987,88,0
Male,9963,180,1
Male,5780,192,1
Female,416,350,0
Male,2894,155,1
Male,5703,128,1
Male,3676,172,1
Female,12000,496,1
Male,3400,173,1
Male,3987,157,1
Male,3232,108,1
Female,2900,71,1
Male,4106,40,1
Male,8072,253,1
Male,7583,187,1
Female,4583,133,0
